Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Justine Cassell,Carnegie Mellon University,2010,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Karl Crary,Carnegie Mellon University,1998,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Kathleen M. Carley,Carnegie Mellon University,1984,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Kathryn Roeder,Carnegie Mellon University,1994,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Kayvon Fatahalian,Carnegie Mellon University,2011,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Ken Koedinger,Carnegie Mellon University,1990,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Larry Wasserman,Carnegie Mellon University,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Laura Dabbish,Carnegie Mellon University,,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Lenore Blum,Carnegie Mellon University,1999,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Lorrie Cranor,Carnegie Mellon University,2003,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Luis VonAhn,Carnegie Mellon University,2006,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Mahadev Satyanarayanan,Carnegie Mellon University,,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Manuel Blum,Carnegie Mellon University,2001,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Manuela Veloso,Carnegie Mellon University,1997,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Mary Shaw,Carnegie Mellon University,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Matt Mason,Carnegie Mellon University,1982,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Michael Erdmann,Carnegie Mellon University,1989,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Michael Shamos,Carnegie Mellon University,1975,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Mor Harchol-Balter,Carnegie Mellon University,1999,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Nancy Pollard,Carnegie Mellon University,,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Norman M Sadeh,Carnegie Mellon University,1991,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Onur Mutlu,Carnegie Mellon University,2009,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Peter Steenkiste,Carnegie Mellon University,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Raj Reddy,Carnegie Mellon University,1969,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Randal Bryant,Carnegie Mellon University,1984,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Richard Scheines,Carnegie Mellon University,,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Richard Stern,Carnegie Mellon University,1977,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Robert F. Murphy,Carnegie Mellon University,2003,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Robert Harper,Carnegie Mellon University,1988,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Robert Kass,Carnegie Mellon University,1981,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Robert Kraut,Carnegie Mellon University,2000,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Roberta Klatzky,Carnegie Mellon University,1993,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Roni Rosenfeld,Carnegie Mellon University,,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Russell Schwartz,Carnegie Mellon University,,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Ryan O'Donnell,Carnegie Mellon University,2006,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
