Name,University,JoinYear,Rank,Subfield,,,,,,,,,,,,,,,,,,
Joseph Konstan,University of Minnesota - Twin Cities,1992,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Joseph Y. Halpern,University of Minnesota - Twin Cities,1996,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Larry Carter,University of Minnesota - Twin Cities,1994,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Loren Terveen,University of Minnesota - Twin Cities,2002,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Maria Gini,University of Minnesota - Twin Cities,,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Mats Heimdahl,University of Minnesota - Twin Cities,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Milos Prvulovic,University of Minnesota - Twin Cities,2003,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Mohamed Mokbel,University of Minnesota - Twin Cities,2005,Associate,Data Mining,,,,,,,,,,,,,,,,,,
Nate Foster,University of Minnesota - Twin Cities,,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Nick Hopper,University of Minnesota - Twin Cities,2005,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Nikolaos Papanikolopoulos,University of Minnesota - Twin Cities,1992,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Paul Schrater,University of Minnesota - Twin Cities,2008,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Pen-Chung Yew,University of Minnesota - Twin Cities,1994,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Ravi Janardan,University of Minnesota - Twin Cities,1987,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Rui Kuang,University of Minnesota - Twin Cities,1999,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Shashi Shekhar,University of Minnesota - Twin Cities,1989,Full,Databases,,,,,,,,,,,,,,,,,,
Stephen McCamant,University of Minnesota - Twin Cities,2012,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Stergios Roumeliotis,University of Minnesota - Twin Cities,2002,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Stephen Guy,University of Minnesota - Twin Cities,2013,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Svetlana Yarosh,University of Minnesota - Twin Cities,2014,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Tian He,University of Minnesota - Twin Cities,2005,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Vipin Kumar,University of Minnesota - Twin Cities,1989,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Volkan Isler,University of Minnesota - Twin Cities,2008,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Yousef Saad,University of Minnesota - Twin Cities,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Zhi-Li Zhang,University of Minnesota - Twin Cities,1997,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Alex Berg,University of North Carolina - Chapel Hill,2013,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Anselmo Lastra,University of North Carolina - Chapel Hill,1991,Full,Graphics,,,,,,,,,,,,,,,,,,
Cynthia Sturton,University of North Carolina - Chapel Hill,2013,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
David Plaisted,University of North Carolina - Chapel Hill,1984,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
David Stotts,University of North Carolina - Chapel Hill,1985,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Dinesh Manocha,University of North Carolina - Chapel Hill,1992,Full,Graphics,,,,,,,,,,,,,,,,,,
Fabian Monrose,University of North Carolina - Chapel Hill,2008,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Frederick Brooks Jr.,University of North Carolina - Chapel Hill,1964,Full,Graphics,,,,,,,,,,,,,,,,,,
Gary Bishop,University of North Carolina - Chapel Hill,1991,Full,Graphics,,,,,,,,,,,,,,,,,,
Gregory Welch,University of North Carolina - Chapel Hill,2011,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Henry Fuchs,University of North Carolina - Chapel Hill,1978,Full,Graphics,,,,,,,,,,,,,,,,,,
Jack Snoeyink,University of North Carolina - Chapel Hill,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
James Anderson,University of North Carolina - Chapel Hill,1993,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Jan Prins,University of North Carolina - Chapel Hill,1987,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Jan-Michael Frahm,University of North Carolina - Chapel Hill,2006,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Jasleen Kaur,University of North Carolina - Chapel Hill,,Associate,Operating Systems,,,,,,,,,,,,,,,,,,
Ketan Mayer-Patel,University of North Carolina - Chapel Hill,,Associate,Multimedia,,,,,,,,,,,,,,,,,,
Kevin Jeffay,University of North Carolina - Chapel Hill,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Leonard McMillan,University of North Carolina - Chapel Hill,,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Manuel A. A. Pérez-Quiñones,University of North Carolina - Chapel Hill,,Associate,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Marc Niethammer,University of North Carolina - Chapel Hill,2014,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Michael Fern,University of North Carolina - Chapel Hill,,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Michael Reiter,University of North Carolina - Chapel Hill,2007,Full,Security & Privacy,,,,,,,,,,,,,,,,,,
Ming Lin,University of North Carolina - Chapel Hill,,Full,Graphics,,,,,,,,,,,,,,,,,,
Montek Singh,University of North Carolina - Chapel Hill,2001,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Prasun Dewan,University of North Carolina - Chapel Hill,,Full,Operating Systems,,,,,,,,,,,,,,,,,,
Ron Alterovitz,University of North Carolina - Chapel Hill,2009,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Sanjoy Baruah,University of North Carolina - Chapel Hill,1999,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Stan Ahalt,University of North Carolina - Chapel Hill,2009,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Stephen Pizer,University of North Carolina - Chapel Hill,1970,Full,Graphics,,,,,,,,,,,,,,,,,,
Tamara Berg,University of North Carolina - Chapel Hill,2013,Assistant,Computer Vision,,,,,,,,,,,,,,,,,,
Vladimir Jojic,University of North Carolina - Chapel Hill,2011,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Marina Blanton,University of Notre Dame - USA,2007,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Kevin Bowyer,University of Notre Dame - USA,1984,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Nitesh V. Chawla,University of Notre Dame - USA,2007,Associate,Data Mining,,,,,,,,,,,,,,,,,,
Danny Chen,University of Notre Dame - USA,1992,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
David Chiang,University of Notre Dame - USA,2014,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Sidney D'Mello,University of Notre Dame - USA,2009,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Patrick J. Flynn,University of Notre Dame - USA,2001,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Jesus Izaguirre,University of Notre Dame - USA,1999,Associate,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Collin McMillan,University of Notre Dame - USA,,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Tijana Milenkovic,University of Notre Dame - USA,2010,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Christian Poellabauer,University of Notre Dame - USA,2004,Associate,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Laurel Riek,University of Notre Dame - USA,2011,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Douglas Thain,University of Notre Dame - USA,2004,Associate,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Chaoli Wang,University of Notre Dame - USA,2014,Associate,Scientific Computing,,,,,,,,,,,,,,,,,,
Dong Wang,University of Notre Dame - USA,2014,Assistant,Data Mining,,,,,,,,,,,,,,,,,,
Tim Weninger,University of Notre Dame - USA,2013,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Aaron Roth,University of Pennsylvania,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Alexander (Sasha) Rakhlin,University of Pennsylvania,2010,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Andreas Haeberlen,University of Pennsylvania,2010,Assistant,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Ani Nenkova,University of Pennsylvania,2007,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Benjamin C. Pierce,University of Pennsylvania,1998,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Boon Thau Loo,University of Pennsylvania,2006,Associate,Databases,,,,,,,,,,,,,,,,,,
Camillo J. Taylor,University of Pennsylvania,1990,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Chris Callison-Burch,University of Pennsylvania,2013,Assistant,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Insup Lee,University of Pennsylvania,1983,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Jean Gallier,University of Pennsylvania,1978,Full,Graphics,,,,,,,,,,,,,,,,,,
Jianbo Shi,University of Pennsylvania,2003,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Joe Devietti,University of Pennsylvania,2013,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Kostas Daniilidis,University of Pennsylvania,1998,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Ladislav Kavan,University of Pennsylvania,2013,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Lyle Ungar,University of Pennsylvania,1990,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Matt Blaze,University of Pennsylvania,1994,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Max Mintz,University of Pennsylvania,1974,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Michael Kearns,University of Pennsylvania,2002,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Milo Martin,University of Pennsylvania,2004,Associate,Databases,,,,,,,,,,,,,,,,,,
Mitch Marcus,University of Pennsylvania,1987,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Nadia Heninger,University of Pennsylvania,2013,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Rajeev Alur,University of Pennsylvania,2003,Full,Computer Education,,,,,,,,,,,,,,,,,,
Rakesh Vohra,University of Pennsylvania,1984,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sampath Kannan,University of Pennsylvania,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Sanjeev Khanna,University of Pennsylvania,,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Stephanie Weirich,University of Pennsylvania,2002,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Steve Zdancewic,University of Pennsylvania,2002,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Sudipto Guha,University of Pennsylvania,,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Susan B. Davidson,University of Pennsylvania,1998,Full,Databases,,,,,,,,,,,,,,,,,,
Val Tannen,University of Pennsylvania,1997,Full,Databases,,,,,,,,,,,,,,,,,,
Zach Ives,University of Pennsylvania,1998,Associate,Databases,,,,,,,,,,,,,,,,,,
Shi-Kuo Chang,University of Pittsburgh,1986,Full,Multimedia,,,,,,,,,,,,,,,,,,
Donald Chiarulli,University of Pittsburgh,1986,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Bruce Childers,University of Pittsburgh,2000,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Sangyeun Cho,University of Pittsburgh,2004,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Panos Chrysanthis,University of Pittsburgh,1991,Full,Databases,,,,,,,,,,,,,,,,,,
Robert Daley,University of Pittsburgh,1975,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Milos Hauskrecht,University of Pittsburgh,,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Rebecca Hwa,University of Pittsburgh,2003,Associate,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Alexandros Labrinidis,University of Pittsburgh,2002,Associate,Databases,,,,,,,,,,,,,,,,,,
John Lange,University of Pittsburgh,2010,Assistant,Operating Systems,,,,,,,,,,,,,,,,,,
Adam Lee,University of Pittsburgh,2008,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Diane Litman,University of Pittsburgh,2001,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
G. Elisabeta Marai,University of Pittsburgh,2007,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Rami Melhem,University of Pittsburgh,1986,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Daniel Mosse,University of Pittsburgh,1996,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Kirk Pruhs,University of Pittsburgh,2001,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Jingtao Wang,University of Pittsburgh,2010,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Janyce Wiebe,University of Pittsburgh,2002,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Youtao Zhang,University of Pittsburgh,2006,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Taieb Znati,University of Pittsburgh,1988,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
James F. Allen,University of Rochester,1987,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Christopher M. Brown,University of Rochester,1991,Full,Computer Vision,,,,,,,,,,,,,,,,,,
John Criswell,University of Rochester,,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Chen Ding,University of Rochester,2001,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Sandhya Dwarkadas,University of Rochester,1999,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Daniel Gildea,University of Rochester,2003,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Philip Guo,University of Rochester,2014,Assistant,Computer Education,,,,,,,,,,,,,,,,,,
Lane A. Hemaspaandra,University of Rochester,1989,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
M. Ehsan Hoque,University of Rochester,2008,Assistant,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Engin Ipek,University of Rochester,2009,Assistant,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Henry Kautz,University of Rochester,2006,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Ji Liu,University of Rochester,2014,Assistant,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Jiebo Luo,University of Rochester,2011,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Randal C. Nelson,University of Rochester,1994,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Lenhart K. Schubert,University of Rochester,1988,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Michael L. Scott,University of Rochester,1997,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Joel I. Seiferas,University of Rochester,1979,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Kai Shen,University of Rochester,2008,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Daniel Stefankovic,University of Rochester,2005,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Muthuramakrishnan Venkitasubramaniam,University of Rochester,2011,Assistant,Security & Privacy,,,,,,,,,,,,,,,,,,
Aiichiro Nakano,University of Southern California,1986,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Ari Requicha,University of Southern California,1986,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Barry Boehm,University of Southern California,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Bhaskar Krishnamachari,University of Southern California,2001,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Cauligi (Raghu) Raghavendra,University of Southern California,1993,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Cyrus Shahabi,University of Southern California,1998,Full,Data Mining,,,,,,,,,,,,,,,,,,
David Kempe,University of Southern California,,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Dennis McLeod,University of Southern California,2004,Full,Databases,,,,,,,,,,,,,,,,,,
Ellis Horowitz,University of Southern California,2012,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Ethan Katz-Bassett,University of Southern California,2008,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Fei Sha,University of Southern California,2008,Associate,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Francisco Valero-Cuevas,University of Southern California,1999,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Gaurav S. Sukhatme,University of Southern California,2000,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Gerard Medioni,University of Southern California,,Full,Computer Education,,,,,,,,,,,,,,,,,,
Hao Li,University of Southern California,2013,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Jay Kuo,University of Southern California,,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Jeffrey A. Miller,University of Southern California,2001,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Jernej Barbic,University of Southern California,2009,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Kai Hwang,University of Southern California,1985,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Kevin Knight,University of Southern California,1993,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Laurent Itti,University of Southern California,2002,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Leana Golubchik,University of Southern California,2002,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Leonard Adleman,University of Southern California,1994,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Maja J Mataric,University of Southern California,1997,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Melvin Breuer,University of Southern California,1986,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Michael Arbib,University of Southern California,,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Michael S Waterman,University of Southern California,1984,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Milind Tambe,University of Southern California,1994,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Ming-Deh Huang,University of Southern California,2007,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Minlan Yu,University of Southern California,2013,Assistant,Networks & Communications,,,,,,,,,,,,,,,,,,
Murali Annavaram,University of Southern California,2007,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Nenad Medvidovic,University of Southern California,,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Nora Ayanian,University of Southern California,2013,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Paul Debevec,University of Southern California,,Research,Graphics,,,,,,,,,,,,,,,,,,
Paul S. Rosenbloom,University of Southern California,1967,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Rajiv Kalia,University of Southern California,1968,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Ramakant Nevatia,University of Southern California,,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Ramesh Govindan,University of Southern California,2003,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Remo Rohs,University of Southern California,2011,Assistant,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Shaddin Dughmi,University of Southern California,2012,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Shahram Ghandeharizadeh,University of Southern California,1985,Associate,Computer Education,,,,,,,,,,,,,,,,,,
Shang-Hua Teng,University of Southern California,2007,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Shrikanth (Shri) S. Narayanan,University of Southern California,2004,Full,Human-Computer Interaction,,,,,,,,,,,,,,,,,,
Stefan Schaal,University of Southern California,,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Stephen Lu,University of Southern California,,Full,Machine Learning & Pattern Recognition,,,,,,,,,,,,,,,,,,
Sven Koenig,University of Southern California,2003,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Tim-Ting Chen,University of Southern California,2008,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Todd A. Brun,University of Southern California,2000,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Ulrich Neumann,University of Southern California,2003,Full,Graphics,,,,,,,,,,,,,,,,,,
Viktor K. Prasanna,University of Southern California,2010,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
William GJ Halfond,University of Southern California,2010,Assistant,Software Engineering,,,,,,,,,,,,,,,,,,
Wyatt Lloyd,University of Southern California,2014,Assistant,Operating Systems,,,,,,,,,,,,,,,,,,
Xianghong Jasmine Zhou,University of Southern California,2010,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Yan Liu,University of Southern California,2010,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Adam Klivans,University of Texas - Austin,2005,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Alan K. Cline,University of Texas - Austin,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Aloysius K. Mok,University of Texas - Austin,1983,Full,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Anna Gal,University of Texas - Austin,2012,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Brent Waters,University of Texas - Austin,2008,Associate,Security & Privacy,,,,,,,,,,,,,,,,,,
Calvin Lin,University of Texas - Austin,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Chandrajit Bajaj,University of Texas - Austin,1997,Full,Graphics,,,,,,,,,,,,,,,,,,
Dana H. Ballard,University of Texas - Austin,1982,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Daniel Miranker,University of Texas - Austin,1986,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
David I. Zuckerman,University of Texas - Austin,2010,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Don Batory,University of Texas - Austin,1983,Full,Databases,,,,,,,,,,,,,,,,,,
Donald Fussell,University of Texas - Austin,,Full,Graphics,,,,,,,,,,,,,,,,,,
Ernest Allen Emerson,University of Texas - Austin,1975,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Emmett Witchel,University of Texas - Austin,2004,Associate,Operating Systems,,,,,,,,,,,,,,,,,,
Eric Price,University of Texas - Austin,2014,Assistant,Computer Education,,,,,,,,,,,,,,,,,,
Etienne Vouga,University of Texas - Austin,2014,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Gordon S. Novak Jr.,University of Texas - Austin,1976,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Greg Plaxton,University of Texas - Austin,1997,Associate,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Isil Dillig,University of Texas - Austin,2014,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
J. Strother Moore,University of Texas - Austin,1997,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
James C. Browne,University of Texas - Austin,1960,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Jayadev Misra,University of Texas - Austin,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Keshav Pingali,University of Texas - Austin,,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Kristen Grauman,University of Texas - Austin,2007,Associate,Computer Vision,,,,,,,,,,,,,,,,,,
Lorenzo Alvisi,University of Texas - Austin,2007,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Michael D. Dahlin,University of Texas - Austin,1996,Full,Distributed & Parallel Computing,,,,,,,,,,,,,,,,,,
Mohamed G. Gouda,University of Texas - Austin,1980,Full,Programming Languages,,,,,,,,,,,,,,,,,,
Peter Stone,University of Texas - Austin,2002,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Raymond Mooney,University of Texas - Austin,1988,Full,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Risto Miikkulainen,University of Texas - Austin,2002,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Robert A. Van de Geijn,University of Texas - Austin,1987,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Simon S. Lam,University of Texas - Austin,1977,Full,Computer Education,,,,,,,,,,,,,,,,,,
Thomas Dillig,University of Texas - Austin,2014,Assistant,Programming Languages,,,,,,,,,,,,,,,,,,
Vijaya Ramachandran,University of Texas - Austin,1989,Full,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Warren A. Hunt Jr.,University of Texas - Austin,2005,Full,Software Engineering,,,,,,,,,,,,,,,,,,
William H. Press,University of Texas - Austin,2007,Full,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
William R. Cook,University of Texas - Austin,2003,Associate,Programming Languages,,,,,,,,,,,,,,,,,,
Yin Zhang,University of Texas - Austin,2010,Associate,Graphics,,,,,,,,,,,,,,,,,,
Adam Bargteil,University of Utah,2008,Assistant,Scientific Computing,,,,,,,,,,,,,,,,,,
Al Davis,University of Utah,2001,Full,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Bob Kessler,University of Utah,1975,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Cem Yuksel,University of Utah,2012,Assistant,Graphics,,,,,,,,,,,,,,,,,,
Christopher Johnson,University of Utah,,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Chuck Hansen,University of Utah,1997,Full,Graphics,,,,,,,,,,,,,,,,,,
Craig Caldwell,University of Utah,,Adjunct,Graphics,,,,,,,,,,,,,,,,,,
Elaine Cohen,University of Utah,,Full,Graphics,,,,,,,,,,,,,,,,,,
Ellen Riloff,University of Utah,,Associate,Natural Language & Speech,,,,,,,,,,,,,,,,,,
Erik Brunvand,University of Utah,1990,Associate,Hardware & Architecture,,,,,,,,,,,,,,,,,,
Erin Parker,University of Utah,2006,Lecturer,Multimedia,,,,,,,,,,,,,,,,,,
Feifei Li,University of Utah,2011,Associate,Databases,,,,,,,,,,,,,,,,,,
Ganesh Gopalakrishnan,University of Utah,1986,Full,Software Engineering,,,,,,,,,,,,,,,,,,
Guido Gerig,University of Utah,2007,Full,Computer Vision,,,,,,,,,,,,,,,,,,
Jeff Phillips,University of Utah,2011,Assistant,Algorithms & Theory,,,,,,,,,,,,,,,,,,
Jeff Weiss,University of Utah,1998,Adjunct,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Joe Zachary,University of Utah,1987,Full,Programming Languages,,,,,,,,,,,,,,,,,,
John Hollerbach,University of Utah,1989,Full,Artificial Intelligence,,,,,,,,,,,,,,,,,,
John Regehr,University of Utah,,Associate,Real-Time & Embedded Systems,,,,,,,,,,,,,,,,,,
Jur van den Berg,University of Utah,2011,Assistant,Artificial Intelligence,,,,,,,,,,,,,,,,,,
Kenneth Stevens,University of Utah,2005,Adjunct,Networks & Communications,,,,,,,,,,,,,,,,,,
Kobus van der Merwe,University of Utah,2012,Associate,Networks & Communications,,,,,,,,,,,,,,,,,,
Lee Hollaar,University of Utah,1980,Full,Networks & Communications,,,,,,,,,,,,,,,,,,
Marcel Prastawa,University of Utah,2007,Research,Bioinformatics & Computational Biology,,,,,,,,,,,,,,,,,,
Mark Van Langeveld,University of Utah,2007,Lecturer,Graphics,,,,,,,,,,,,,,,,,,
Martin Berzins,University of Utah,2003,Full,Scientific Computing,,,,,,,,,,,,,,,,,,
Mary Hall,University of Utah,2008,Full,Operating Systems,,,,,,,,,,,,,,,,,,
